# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Tue Oct 24 16:01:29 CEST 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 4.00000 0.3597448170 2.0591059342    0.360  0.857  3.5723  2.378    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.88e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.627 7.302 5.537 4.215 3.284 2.118 0.942 0.036 -0.126
0.0152 0.01508 4.00000 0.4000000358 2.1185024810    0.400  0.945  3.5798  2.367    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.409 6.967 5.174 3.834 2.932 1.867 0.743 -0.144 -0.300
0.0152 0.01508 4.00000 0.4324635267 2.1610083105    0.432  1.004  3.5849  2.361    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.260 6.728 4.938 3.592 2.702 1.702 0.607 -0.265 -0.417
0.0152 0.01508 4.00000 0.4500000477 2.1822809714    0.450  1.036  3.5873  2.357    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.181 6.606 4.816 3.467 2.584 1.615 0.535 -0.330 -0.480
0.0152 0.01508 4.00000 0.4808891714 2.2172493363    0.481  1.084  3.5913  2.354    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.061 6.411 4.628 3.278 2.404 1.483 0.425 -0.428 -0.574
0.0152 0.01508 4.00000 0.5000000000 2.2374541529    0.500  1.114  3.5935  2.349    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.985 6.292 4.517 3.169 2.299 1.402 0.354 -0.492 -0.635
0.0152 0.01508 4.00000 0.5103537440 2.2478788844    0.510  1.128  3.5946  2.348    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.950 6.234 4.465 3.117 2.249 1.364 0.322 -0.521 -0.664
0.0152 0.01508 4.00000 0.5392472744 2.2745511577    0.539  1.169  3.5975  2.342    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.847 6.073 4.315 2.969 2.107 1.254 0.226 -0.607 -0.747
0.0152 0.01508 4.00000 0.5500000119 2.2836582633    0.550  1.184  3.5987  2.341    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.810 6.013 4.259 2.914 2.055 1.214 0.191 -0.638 -0.777
0.0152 0.01508 4.00000 0.5583847761 2.2904805932    0.558  1.194  3.5994  2.340    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.785 5.973 4.222 2.877 2.020 1.187 0.168 -0.659 -0.797
